name,gs_email,as_chair,as_pc,as_author,papers
"Arabnejad, Hamid",@fe.up.pt,0,0,1,CCGrid_17_001
"Aracil, Javier",@etsi.us.es,0,0,1,HPCC_17_045
"Arafa, Pansy",@uwaterloo.ca,0,0,1,MASCOTS_17_012
"Araki, Toshinori",,0,0,1,SP_17_034
"Arampatzis, Avi",@ee.duth.gr,0,1,0,
"Arapakis, Ioannis",@telefonica.com,0,1,0,
"Arasu, Arvind",,0,1,1,SIGMOD_17_069
"Araujo, Guido",@ic.unicamp.br,0,0,2,"ICPP_17_036,EuroPar_17_004"
"Araujo, Miguel Ramos De",@feedzai.com,0,0,1,ICDM_17_015
"Arbenz, Peter",@inf.ethz.ch,0,1,0,
"Arcaute, Esteban",@walmartlabs.com,0,0,1,SIGMOD_17_042
"Archer, Charles",,0,0,2,"IPDPS_17_099,SC_17_057"
"Ardagna, Danilo",@polimi.it,0,1,0,
"Ardalani, Newsha",@cs.wisc.edu,0,0,1,ISCA_17_032
"Ardanaz, Federico",,0,0,1,ISC_17_021
"Ardekani, Masoud Saeida",@masoud.io,0,1,2,"SOCC_17_035,Middleware_17_014"
"Arden, Owen",@ucsc.edu,0,0,2,"CCS_17_116,CCS_17_117"
"Aref, Walid",@cs.purdue.edu,0,1,0,
"Arguello, Jaime",@email.unc.edu,0,1,0,
"Argyraki, Katerina",@epfl.ch,0,0,2,"NSDI_17_040,SIGCOMM_17_004"
"Argyros, George",,0,0,1,SP_17_015
"Ariola, Zena M.",@cs.uoregon.edu,0,0,1,PLDI_17_011
"Arjomand, Mohammad",@gatech.edu,0,0,3,"ASPLOS_17_026,SIGMETRICS_17_014,IISWC_17_023"
"Arlitt, Martin",@microfocus.com,0,2,1,ICPE_17_012
"Armbrust, Michael",@cs.berkeley.edu,0,0,1,SOSP_17_023
"Arnau, Jose Maria",@ac.upc.edu,0,0,2,"PACT_17_004,MICRO_17_004"
"Arnautov, Sergei",,0,0,2,"EuroSys_17_016,IPDPS_17_089"
"Arndt, Oliver Jakob",,0,0,1,HCW_17_001
"Arnold, Dorian",@cs.unm.edu,1,1,1,IPDPS_17_047
"Aroca, Jordi Arjona",@it.uc3m.es,0,0,3,"CCGrid_17_017,SOCC_17_034,Middleware_17_008"
"Arora, Aashray",@cs.stonybrook.edu,0,0,1,ATC_17_028
"Arora, Akhil",@xerox.com,0,0,1,SIGMOD_17_006
"Arora, Sudhansku",,0,0,1,CIDR_17_006
"Arora, Vaibhav",@cs.ucsb.edu,0,0,1,HotCloud_17_014
"Arora, Varun",MISSING,0,0,1,NSDI_17_004
"Arpaci-Dusseau, Andrea",@cs.wisc.edu,0,2,5,"FAST_17_011,FAST_17_013,VEE_17_009,EuroSys_17_011,HPDC_17_003"
